matching_id	role	cancer_id	cancer_normalized	gene_hugo_id	gene_entrez_id	gene_normalized	citation_count
af8ad5a7e5f73cfc026f5c3f6cdb5f21	Oncogene	DOID:3068	glioblastoma multiforme	HGNC:3236	1956	EGFR	117
9c871799d37ddf3a40d0d33ed9868315	Tumor_Suppressor	DOID:10283	prostate cancer	HGNC:9588	5728	PTEN	116
d2e0feaeb926fb89908a23a43d16e46a	Driver	DOID:3908	non-small cell lung carcinoma	HGNC:3236	1956	EGFR	116
9b5adc46cd535d6b182c1eb0d250cfe2	Driver	DOID:707	B-cell lymphoma	HGNC:7553	4609	MYC	114
b6fa8e60bafa8f97d76a94c0f91fd7f5	Driver	DOID:1324	lung cancer	HGNC:3236	1956	EGFR	111
ae453c525d43868611d5fe07b3bbc6b6	Oncogene	DOID:3347	osteosarcoma	HGNC:3796	2353	FOS	105
c4b89d657c4f85e9ca45afa25f786708	Oncogene	DOID:1240	leukemia	HGNC:76	25	ABL1	103
e5d7879bfe99a899f2efbd37e860dff1	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:1100	672	BRCA1	101
a82c43da99496766f772053538678841	Tumor_Suppressor	DOID:9256	colorectal cancer	HGNC:583	324	APC	99
ef544c0783e7b41f64fa68a45f740011	Tumor_Suppressor	DOID:2394	ovarian cancer	HGNC:1100	672	BRCA1	92
6ca228a3cbda6c60eb0b027a18494082	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:427	238	ALK	92
5e2b454e4190b558bd1406b85101b12e	Oncogene	DOID:9256	colorectal cancer	HGNC:6407	3845	KRAS	90
603dccd02863a72e8dfd3b1fef426ffe	Oncogene	DOID:1612	breast cancer	HGNC:3236	1956	EGFR	89
d1c3c7d096e79f01ffb2502245338a7c	Driver	DOID:769	neuroblastoma	HGNC:7559	4613	MYCN	89
6935c9a5b21c2143a6621de2c11fed56	Oncogene	DOID:707	B-cell lymphoma	HGNC:7553	4609	MYC	85
0655f53767046fcfab01b9e5dbd0c1d7	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:11998	7157	TP53	83
fa20521dcecc760710f9f68ef8afb234	Oncogene	DOID:9256	colorectal cancer	HGNC:1097	673	BRAF	80
f6445990bbe159dcaaf2e68f377597bf	Oncogene	DOID:3070	malignant glioma	HGNC:4317	2735	GLI1	79
4d00f8f153000d3ec1d3440ce2f7b009	Oncogene	DOID:1324	lung cancer	HGNC:6407	3845	KRAS	78
46488d8383f21a48591e51b23f9dbc54	Tumor_Suppressor	DOID:10534	stomach cancer	HGNC:10473	864	RUNX3	77
0c7d0a4db9517deee4969585752092e4	Oncogene	DOID:10283	prostate cancer	HGNC:7553	4609	MYC	77
2583c43a6d5f5cfb0222dbece1200b19	Oncogene	DOID:1240	leukemia	HGNC:7553	4609	MYC	75
f391dc2a131ad52ab05614c028ba42dd	Oncogene	DOID:1781	thyroid cancer	HGNC:9967	5979	RET	72
0fa5d2b90baae638a400e414cffccc8c	Driver	DOID:9253	gastrointestinal stromal tumor	HGNC:6342	3815	KIT	67
5a6fc930cc9a5277f325e1e7cd58da45	Driver	DOID:0050902	medulloblastoma	HGNC:10848	6469	SHH	66
3c02d1d6641c40c755d5f1e17a005d1b	Oncogene	DOID:9256	colorectal cancer	HGNC:7553	4609	MYC	63
f04f7c1ab5c7ad5f5234a29d903b33ca	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:6407	3845	KRAS	63
573e92c6004147c97213ca06c5832680	Driver	DOID:1909	melanoma	HGNC:7989	4893	NRAS	63
8bb7693c37b671596faed574dc6dbdd1	Oncogene	DOID:3910	lung adenocarcinoma	HGNC:3236	1956	EGFR	61
d2ba22a871d0df4a171d96cf655c1ff2	Oncogene	DOID:1909	melanoma	HGNC:7989	4893	NRAS	61
1090a24754849a60b80a57391fcf9bf1	Oncogene	DOID:3070	malignant glioma	HGNC:3236	1956	EGFR	60
e3ac9c37f23f459449fff48853aa1c2f	Tumor_Suppressor	DOID:1324	lung cancer	HGNC:11998	7157	TP53	58
18cfa68e7bc63d7310022142f91dd913	Oncogene	DOID:769	neuroblastoma	HGNC:7553	4609	MYC	58
6d5bff64370d776c2f671f7b31f1ab2d	Oncogene	DOID:9256	colorectal cancer	HGNC:3236	1956	EGFR	56
7a28c58bf5f632ee85dcb56d373210c2	Driver	DOID:1612	breast cancer	HGNC:7553	4609	MYC	56
f1d9e1a2720f67519ee1da100def9839	Tumor_Suppressor	DOID:219	colon cancer	HGNC:583	324	APC	54
24db618a475aa6f7ff0480204e909a25	Oncogene	DOID:1909	melanoma	HGNC:7553	4609	MYC	54
cd7100110db23d6adbad9e64c0423876	Oncogene	DOID:1909	melanoma	HGNC:7105	4286	MITF	53
bc67bd3a87744cd886c6b5670c9dfc2d	Driver	DOID:3910	lung adenocarcinoma	HGNC:3236	1956	EGFR	53
6af00211716f58cb4e16e63b3fde086b	Tumor_Suppressor	DOID:684	hepatocellular carcinoma	HGNC:11998	7157	TP53	51
5331bcfa423badc26c58b704b8e49870	Driver	DOID:3908	non-small cell lung carcinoma	HGNC:427	238	ALK	51
796d2cd4dfdeb222fe07ddeb5c27cd08	Tumor_Suppressor	DOID:4467	clear cell renal cell carcinoma	HGNC:12687	7428	VHL	49
a47356d2f8d97088c678a36b2997ce90	Oncogene	DOID:1612	breast cancer	HGNC:1582	595	CCND1	49
c0748d511a97bae2b29eabbf86eaf7df	Oncogene	DOID:0060058	lymphoma	HGNC:3236	1956	EGFR	48
8fa0e0ef5ecfd02ef75201aedbd7f124	Driver	DOID:3571	liver cancer	HGNC:7553	4609	MYC	48
b177116683ecaf3b7f9f62f8bf7f0bd0	Driver	DOID:1324	lung cancer	HGNC:6407	3845	KRAS	47
1073ff151f67a5a34dc80ff3c1755b9a	Tumor_Suppressor	DOID:3068	glioblastoma multiforme	HGNC:9588	5728	PTEN	46
4025a8941221f2a2645674dbf52eadd6	Driver	DOID:10283	prostate cancer	HGNC:9588	5728	PTEN	46
ccf36d4e5e6483490d22a49b61d1ca3b	Oncogene	DOID:9119	acute myeloid leukemia	HGNC:7553	4609	MYC	44
6682f19c20fcc82828693be900cd0c5d	Driver	DOID:9119	acute myeloid leukemia	HGNC:7132	4297	KMT2A	44
6038061ae0761b63b4de204878e5c6e4	Oncogene	DOID:5409	lung small cell carcinoma	HGNC:7553	4609	MYC	43
0ec2b7af6308ea76cce345de45445c63	Tumor_Suppressor	DOID:9256	colorectal cancer	HGNC:11998	7157	TP53	42
73bebd50a5a2163936501dbb2f4df83f	Tumor_Suppressor	DOID:4450	renal cell carcinoma	HGNC:12687	7428	VHL	42
556bbecf6442d83b444911dfc4d3bafd	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:9588	5728	PTEN	41
e59b17c092f4582c75139c43fc3a3942	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:10261	6098	ROS1	41
1b626149578b79d35bc340f4419953d3	Oncogene	DOID:2394	ovarian cancer	HGNC:3430	2064	ERBB2	41
897412d708b2c031bae283f3a8b40024	Oncogene	DOID:0050744	anaplastic large cell lymphoma	HGNC:427	238	ALK	41
d1c6a49acf84f36b88496fe38a5c6408	Oncogene	DOID:9952	acute lymphocytic leukemia	HGNC:76	25	ABL1	40
6255a946f7d1f37edb2faa338c23e4a2	Oncogene	DOID:3571	liver cancer	HGNC:7553	4609	MYC	40
63010ed719c1059bb7ecb2d72a7f3301	Driver	DOID:1240	leukemia	HGNC:7132	4297	KMT2A	40
95579923470d3fe917cc3b2a482b6749	Oncogene	DOID:8923	skin melanoma	HGNC:1097	673	BRAF	39
827d1e7c14a3244a8e5c92d860b306b6	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:1097	673	BRAF	39
19d438bd21986748e29248dc30603f9e	Oncogene	DOID:3459	breast carcinoma	HGNC:3430	2064	ERBB2	39
e226a18776c6cff43aa6b708ecd49786	Oncogene	DOID:1324	lung cancer	HGNC:7553	4609	MYC	39
7099f39a9ada1c3849dfae40e93b98c0	Driver	DOID:1240	leukemia	HGNC:76	25	ABL1	39
75cd36985bd7eded9364fc78af09123f	Oncogene	DOID:3969	papillary thyroid carcinoma	HGNC:1097	673	BRAF	38
feff644f0bc757b18f92471771265b09	Oncogene	DOID:10283	prostate cancer	HGNC:3446	2078	ERG	37
94bbeb4ca26de7baf9a9787061306af9	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:7553	4609	MYC	36
2cab2ed530b52c1c3688c820e51db39a	Oncogene	DOID:1240	leukemia	HGNC:7545	4602	MYB	36
b6950b708e035d31ec0344fb2c167caa	Oncogene	DOID:1240	leukemia	HGNC:3236	1956	EGFR	36
38b2d11fed3931b7f6e667412825c2cc	Oncogene	DOID:10534	stomach cancer	HGNC:7553	4609	MYC	36
68af667aebec6af055e06d3dadd2b231	Oncogene	DOID:0050902	medulloblastoma	HGNC:7553	4609	MYC	36
9688526033fe53f11b2eccecebd76ca4	Oncogene	DOID:9538	multiple myeloma	HGNC:7553	4609	MYC	35
1e7b43c71721205a838ce166bd99f4da	Oncogene	DOID:9119	acute myeloid leukemia	HGNC:6342	3815	KIT	35
fe969ae03dca218a374fe2695f4abee7	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:7029	4233	MET	35
d11b9b07a63cb515ac1929bcbd3a395b	Driver	DOID:8552	chronic myeloid leukemia	HGNC:76	25	ABL1	35
4d86a7b8a676a4708ead22c5c4817baa	Driver	DOID:3068	glioblastoma multiforme	HGNC:3236	1956	EGFR	35
d33de252e5c6ea25f2e2547d3859eac7	Driver	DOID:10283	prostate cancer	HGNC:7553	4609	MYC	35
c6712385cd77b7273e2aeb12a217ed3e	Driver	DOID:10283	prostate cancer	HGNC:644	367	AR	35
b0f2590651dd9406cd9fc7508a78bbe0	Oncogene	DOID:219	colon cancer	HGNC:6407	3845	KRAS	34
3278ff280984906c8f85626497ecb338	Oncogene	DOID:0050745	diffuse large B-cell lymphoma	HGNC:7553	4609	MYC	34
8e2cce561b30ce896c7109092b286fb1	Oncogene	DOID:0050745	diffuse large B-cell lymphoma	HGNC:1001	604	BCL6	34
df3bea5994b7e79dac0b917f1118cb47	Oncogene	DOID:769	neuroblastoma	HGNC:1097	673	BRAF	33
908407d052d1e233edb5fbd9d361976b	Oncogene	DOID:5603	acute T cell leukemia	HGNC:7881	4851	NOTCH1	33
c3ae3fc809e3d9419f51e40a96b06917	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:7029	4233	MET	33
ba62abc6195dfe68abdb1ccec91e6ff6	Oncogene	DOID:1909	melanoma	HGNC:6342	3815	KIT	33
1661cf645054abcbc04e8e7047ba3fee	Oncogene	DOID:0050873	follicular lymphoma	HGNC:990	596	BCL2	33
c45debee5a0e3a05c5584fe73f53bb9f	Tumor_Suppressor	DOID:3070	malignant glioma	HGNC:9588	5728	PTEN	32
994f70db7b330abd5b6aadbbfa17d436	Oncogene	DOID:3910	lung adenocarcinoma	HGNC:6407	3845	KRAS	32
10212a7810c61e003ad91ef17945ae26	Driver	DOID:9119	acute myeloid leukemia	HGNC:7136	4300	MLLT3	32
e4d13e503dfd585b4b86bf4ffea9e0dd	Tumor_Suppressor	DOID:5520	head and neck squamous cell carcinoma	HGNC:11998	7157	TP53	31
e984529d42dc682606a17cbe1495b5f3	Tumor_Suppressor	DOID:0060318	acute promyelocytic leukemia	HGNC:9113	5371	PML	31
5abcaf36a3c18fe9834150a03fd3a372	Oncogene	DOID:2394	ovarian cancer	HGNC:7553	4609	MYC	31
e3bae20f09b20913f434675d4ae30ae9	Tumor_Suppressor	DOID:768	retinoblastoma	HGNC:11998	7157	TP53	30
e3fc45be2aa87280a9f7699b184b0f38	Oncogene	DOID:9119	acute myeloid leukemia	HGNC:7989	4893	NRAS	30
e5eb88ea09b01cf53188f3de66bf6bb1	Oncogene	DOID:5520	head and neck squamous cell carcinoma	HGNC:3236	1956	EGFR	30
91ad5cb585626a025b76ff2c14e63329	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:9967	5979	RET	30
e430791b4d109a6ff77f7fa7ab1cab01	Oncogene	DOID:0060318	acute promyelocytic leukemia	HGNC:9113	5371	PML	30
f82297f109aec658d113682a424748f7	Driver	DOID:5603	acute T cell leukemia	HGNC:7881	4851	NOTCH1	30
d2fe2854b52a40f6a0a3f1e032aa1ef5	Driver	DOID:0050902	medulloblastoma	HGNC:7553	4609	MYC	30
7cb58532fd0051adc734b2b6ded95ce1	Tumor_Suppressor	DOID:1909	melanoma	HGNC:1787	1029	CDKN2A	29
a5dccddd6bf2a386175f62a5cd6c13de	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:16262	10413	YAP1	29
ccf0e36107c46dd00dbbedbb86d03481	Oncogene	DOID:1793	pancreatic cancer	HGNC:7553	4609	MYC	29
19917156ff0bfab8873fb7a3a3680e60	Oncogene	DOID:1781	thyroid cancer	HGNC:1097	673	BRAF	29
3697a492df3829fe18ef5541f3459019	Oncogene	DOID:5603	acute T cell leukemia	HGNC:11556	6886	TAL1	28
fdbb09d828f3b2b9a1b093f7ed6b66ba	Tumor_Suppressor	DOID:1909	melanoma	HGNC:9588	5728	PTEN	27
afdd38e1bae8136a6fd8b4b3a4cf2803	Tumor_Suppressor	DOID:10283	prostate cancer	HGNC:7838	4824	NKX3-1	27
584b586f74e72502dbbc17db0deaae7e	Oncogene	DOID:5603	acute T cell leukemia	HGNC:7553	4609	MYC	27
9c63f1618a2504603022ca8c9dc46d7e	Oncogene	DOID:3498	pancreatic ductal adenocarcinoma	HGNC:6407	3845	KRAS	27
5f8111a15d14f9b7f999d6618e4155a0	Oncogene	DOID:3068	glioblastoma multiforme	HGNC:7553	4609	MYC	27
dcf7652a4f262bcf2cc2495416e7944f	Oncogene	DOID:10534	stomach cancer	HGNC:3430	2064	ERBB2	27
596c2d071e9abd3830f2c7e8343c0f1b	Driver	DOID:684	hepatocellular carcinoma	HGNC:7553	4609	MYC	27
2f89586b04c0c86756aa230485c37680	Driver	DOID:1324	lung cancer	HGNC:427	238	ALK	27
2180f166f0ca1cbb74b77fd7a4ebf094	Tumor_Suppressor	DOID:170	endocrine gland cancer	HGNC:7010	4221	MEN1	26
a39a353cfd04bb049f8b834c434ba412	Oncogene	DOID:769	neuroblastoma	HGNC:427	238	ALK	26
926911a67bf5f9f6acb9434694dd1465	Oncogene	DOID:707	B-cell lymphoma	HGNC:1001	604	BCL6	26
3be227c2511a152f7c30775a54005c9a	Oncogene	DOID:219	colon cancer	HGNC:7553	4609	MYC	26
6b70d406ad3dad67305a70266fff2b48	Tumor_Suppressor	DOID:3070	malignant glioma	HGNC:11998	7157	TP53	25
edaf7fa25072500e6a4b37acf89be0e3	Tumor_Suppressor	DOID:1793	pancreatic cancer	HGNC:11998	7157	TP53	25
2f50c83a209810936088aed319107fc8	Oncogene	DOID:707	B-cell lymphoma	HGNC:990	596	BCL2	25
adda1f203c92f54e376c9bd25040b22c	Oncogene	DOID:0050744	anaplastic large cell lymphoma	HGNC:7910	4869	NPM1	25
a601ebe14e2d0cc2e04a94ffe3cfce12	Driver	DOID:9256	colorectal cancer	HGNC:583	324	APC	25
ceef0f0dfe3a6b015e65087ce6ff065e	Driver	DOID:9253	gastrointestinal stromal tumor	HGNC:8803	5156	PDGFRA	25
3272d2ad07e004a327a5c1c7200fcae3	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:1748	999	CDH1	24
499082de96fbe9cff22908e75a28daad	Tumor_Suppressor	DOID:2871	endometrial carcinoma	HGNC:9588	5728	PTEN	23
86474a05b7789cd648022276d9335b81	Tumor_Suppressor	DOID:2394	ovarian cancer	HGNC:11998	7157	TP53	23
ac36bc636cb545ab6865d180df76c812	Oncogene	DOID:4362	cervical cancer	HGNC:7553	4609	MYC	23
b72b20ecba597cc0f7db2877c0afad2e	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:1101	675	BRCA2	22
7d67875230774b9190746cb8c4583119	Oncogene	DOID:9253	gastrointestinal stromal tumor	HGNC:8803	5156	PDGFRA	22
3a28aa713a780ad942695573fe1b4c8e	Oncogene	DOID:1040	chronic lymphocytic leukemia	HGNC:11648	8115	TCL1A	22
7660da8e4ab52828424a47c103fc2efa	Driver	DOID:8584	Burkitt lymphoma	HGNC:7553	4609	MYC	22
1a564e2ea02a92bb062bced9d1f3b65b	Driver	DOID:1793	pancreatic cancer	HGNC:6407	3845	KRAS	22
095d5fadb9c1005bc24d6c8d61e619e0	Tumor_Suppressor	DOID:263	kidney cancer	HGNC:12687	7428	VHL	21
99cd3451dca154e844ea925b7290c922	Tumor_Suppressor	DOID:219	colon cancer	HGNC:11998	7157	TP53	21
fc2d348b5228197ad02e33c35c716a5b	Tumor_Suppressor	DOID:1324	lung cancer	HGNC:5951	23705	CADM1	21
40041df137ee5a74bc4a9247f3caff73	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:6204	3725	JUN	21
ccc96ca51ec31fd2ee47ac36a182f509	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:3796	2353	FOS	21
b06429ff8ebc4f7a483605ba3fd1817b	Oncogene	DOID:1612	breast cancer	HGNC:8975	5290	PIK3CA	21
ee510332fa1b25aaba0d56ced46a7ae6	Oncogene	DOID:1612	breast cancer	HGNC:11283	6714	SRC	21
27e2228b9df04b468f4a3c930d1c32c2	Driver	DOID:1612	breast cancer	HGNC:8975	5290	PIK3CA	21
02b1017e767e0d66ff47cf438d5fd54d	Tumor_Suppressor	DOID:3908	non-small cell lung carcinoma	HGNC:5951	23705	CADM1	20
a6740312b2a0c5d21fed71b96bb61bea	Tumor_Suppressor	DOID:10534	stomach cancer	HGNC:1748	999	CDH1	20
a013fa21910b99aa218d3a606f3634f6	Oncogene	DOID:9119	acute myeloid leukemia	HGNC:7132	4297	KMT2A	20
d6eb728ec84dd9cb18d47df2e9191db2	Oncogene	DOID:5603	acute T cell leukemia	HGNC:6642	4005	LMO2	20
391f2db697744d2ca9524b81d43de5e1	Oncogene	DOID:1612	breast cancer	HGNC:11998	7157	TP53	20
5dc0280ea4ed86c1a30287a5548b34ca	Oncogene	DOID:0060318	acute promyelocytic leukemia	HGNC:9864	5914	RARA	20
36c4f210326698928e9d2b83cd41894a	Driver	DOID:769	neuroblastoma	HGNC:427	238	ALK	20
a5c4601738ac3bbb1636a576ba26caa1	Tumor_Suppressor	DOID:684	hepatocellular carcinoma	HGNC:9588	5728	PTEN	19
bd42c7743ebddaacb3d904604f734265	Oncogene	DOID:4362	cervical cancer	HGNC:24241	25875	LETMD1	19
c085a6bdd8c64baa1beab8048a9206cc	Oncogene	DOID:1785	pituitary cancer	HGNC:9690	9232	PTTG1	19
ec9e677702a6ff1ec82cf67e1293a027	Tumor_Suppressor	DOID:684	hepatocellular carcinoma	HGNC:2897	10395	DLC1	18
ade50d18be2bde7f74de29014d27d831	Tumor_Suppressor	DOID:3672	rhabdoid cancer	HGNC:11103	6598	SMARCB1	18
d3bb460a2885a126e36ed2b9c7d21681	Tumor_Suppressor	DOID:2394	ovarian cancer	HGNC:1101	675	BRCA2	18
402531f9de63bb04fe7c48f12ee8646d	Tumor_Suppressor	DOID:1380	endometrial cancer	HGNC:9588	5728	PTEN	18
da8194cf6a00928e0f6e7db747d5b02b	Tumor_Suppressor	DOID:10283	prostate cancer	HGNC:2235	1316	KLF6	18
e1e2454953cfbc4440cab1c9edbdff89	Oncogene	DOID:9952	acute lymphocytic leukemia	HGNC:1014	613	BCR	18
c0f40dd6e9fa9172e0b7002af7217894	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:6342	3815	KIT	18
eb4fac07656f66281ae30efb9865189c	Oncogene	DOID:3350	mesenchymal cell neoplasm	HGNC:6342	3815	KIT	18
4d3819fbd816e43f95d4ff7e54e1dd33	Oncogene	DOID:3347	osteosarcoma	HGNC:7553	4609	MYC	18
139ac10009ac43d618eefc9635b2177b	Oncogene	DOID:1909	melanoma	HGNC:3236	1956	EGFR	18
4db849142956bcd60ba74d9a08ca0c87	Oncogene	DOID:1612	breast cancer	HGNC:12774	7471	WNT1	18
16fddc2b87390b49de76ea22b7beb19c	Oncogene	DOID:1240	leukemia	HGNC:6342	3815	KIT	18
16ffd38730290613f3f37b8e6f5f55e1	Oncogene	DOID:0060318	acute promyelocytic leukemia	HGNC:7553	4609	MYC	18
297da5e0c02892e35e08f62093d00b9c	Oncogene	DOID:0050902	medulloblastoma	HGNC:8522	5015	OTX2	18
2d7001e3b03b1f1226c7f6a0f174c041	Driver	DOID:9256	colorectal cancer	HGNC:1097	673	BRAF	18
9fa33b2bf19fd5c9a3f47a07632d016f	Driver	DOID:3070	malignant glioma	HGNC:8800	5155	PDGFB	18
144d1151e144bd87c076f9697e8ddb3c	Tumor_Suppressor	DOID:1793	pancreatic cancer	HGNC:6770	4089	SMAD4	17
0fc4d7a883737bce692189180df4c104	Oncogene	DOID:9256	colorectal cancer	HGNC:1779	1024	CDK8	17
7f70f7f70a23bfd1b50327a9a005f9fd	Oncogene	DOID:9256	colorectal cancer	HGNC:11283	6714	SRC	17
03040a5495fff6711e5e7c34cfbaddbe	Oncogene	DOID:9119	acute myeloid leukemia	HGNC:3765	2322	FLT3	17
a27eccba41e495a093ba9280730982e9	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:7989	4893	NRAS	17
d2a86b6e5a7912c03d1a12e38c0dbb38	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:17635	29126	CD274	17
9923948dbac77db5fe839762d6c856fc	Oncogene	DOID:2394	ovarian cancer	HGNC:16262	10413	YAP1	17
5bc83e4e062f2a5733eda617877f17c0	Oncogene	DOID:1612	breast cancer	HGNC:3796	2353	FOS	17
1703a26213d40053cc293af98562e9af	Oncogene	DOID:1324	lung cancer	HGNC:427	238	ALK	17
9ce2f4c55912559594dc4d818dca853d	Oncogene	DOID:1240	leukemia	HGNC:7132	4297	KMT2A	17
c4733ead57bc30e9feaf3f29a6664d82	Oncogene	DOID:1240	leukemia	HGNC:6642	4005	LMO2	17
7cb0a95705bb2349c2bbc65c1addca60	Oncogene	DOID:1040	chronic lymphocytic leukemia	HGNC:7553	4609	MYC	17
ae08b383bcb8db3140020078d9d92e47	Driver	DOID:8552	chronic myeloid leukemia	HGNC:1014	613	BCR	17
3fe91a4048807ad18eb2ad34aa88c34e	Driver	DOID:5603	acute T cell leukemia	HGNC:7553	4609	MYC	17
b0333f93c4537c9d4535a80bf42aee2e	Driver	DOID:1612	breast cancer	HGNC:11998	7157	TP53	17
f22b5cbbfbbdb5a75717dff6f0e92bf8	Tumor_Suppressor	DOID:1793	pancreatic cancer	HGNC:1787	1029	CDKN2A	16
f17b29f509b34d1a93507d46f422f07c	Tumor_Suppressor	DOID:10283	prostate cancer	HGNC:11998	7157	TP53	16
41e190979ee76ae6ab0aefa6ed81a1cd	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:3236	1956	EGFR	16
1aa8bf8dcd2d28655b703b67bff883a7	Oncogene	DOID:768	retinoblastoma	HGNC:7553	4609	MYC	16
9807b59faf23ae88a447f25c1a361d1b	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:11577	6901	TAZ	16
182477862af11ad5422c07b7837cbcab	Oncogene	DOID:3664	mast cell neoplasm	HGNC:6342	3815	KIT	16
723a70b67bff76a5e7a662f10a677927	Oncogene	DOID:3571	liver cancer	HGNC:16262	10413	YAP1	16
21b7a18da69073ac5d674e0232537873	Oncogene	DOID:3459	breast carcinoma	HGNC:7553	4609	MYC	16
e4ad803dbcd5fb60fc73d8487295ce87	Oncogene	DOID:3355	fibrosarcoma	HGNC:6776	4094	MAF	16
7869c5e959d45c14caca3794719a640c	Oncogene	DOID:3070	malignant glioma	HGNC:7553	4609	MYC	16
731e2a36903ff026edb4a87074b939ec	Oncogene	DOID:2226	myeloproliferative neoplasm	HGNC:1014	613	BCR	16
1d89695e7a3aac8cb63a11a2915d5f74	Oncogene	DOID:1612	breast cancer	HGNC:6348	9314	KLF4	16
c6a562f78c5423f640154e5bef382748	Oncogene	DOID:1612	breast cancer	HGNC:11364	6774	STAT3	16
f1160bb46d4f2af31521069ef14813d5	Oncogene	DOID:0060058	lymphoma	HGNC:990	596	BCL2	16
18f0004a79a790bc38b2b2d42619d331	Oncogene	DOID:0060058	lymphoma	HGNC:427	238	ALK	16
df97e67e330902684caa2f2c436ef223	Oncogene	DOID:0050902	medulloblastoma	HGNC:7559	4613	MYCN	16
47ef9f5c7e88175598b846ddfe01ce88	Driver	DOID:3070	malignant glioma	HGNC:3236	1956	EGFR	16
0df2f62f28d14f9b834049e8032d2ca6	Driver	DOID:1240	leukemia	HGNC:7136	4300	MLLT3	16
66a9144bd52aa6447939ced23955baf0	Tumor_Suppressor	DOID:3068	glioblastoma multiforme	HGNC:11998	7157	TP53	15
